dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,time,susceptibles,infected,recovered,dead
23/02/2020,23,2,2020,3,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,0,997,3,0,0
24/02/2020,24,2,2020,1,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,1,996,4,0,0
25/02/2020,25,2,2020,0,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,2,996,4,0,0
26/02/2020,26,2,2020,1,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,3,995,5,0,0
27/02/2020,27,2,2020,1,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,4,994,6,0,0
28/02/2020,28,2,2020,2,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,5,992,7,0,1
29/02/2020,29,2,2020,1,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,6,991,8,0,1
01/03/2020,1,3,2020,2,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,7,989,10,0,1
02/03/2020,2,3,2020,2,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,8,987,12,0,1
03/03/2020,3,3,2020,3,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,9,984,14,0,2
04/03/2020,4,3,2020,2,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,10,982,16,0,2
05/03/2020,5,3,2020,4,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,11,978,19,0,3
06/03/2020,6,3,2020,4,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,12,974,22,0,4
07/03/2020,7,3,2020,5,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,13,969,26,0,5
08/03/2020,8,3,2020,5,0,SID_ODE_N1000,XX,XXX,1000,Artificialia,14,964,31,0,5
09/03/2020,9,3,2020,7,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,15,957,37,0,6
10/03/2020,10,3,2020,7,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,16,950,43,0,7
11/03/2020,11,3,2020,9,1,SID_ODE_N1000,XX,XXX,1000,Artificialia,17,941,51,0,8
12/03/2020,12,3,2020,10,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,18,931,59,0,10
13/03/2020,13,3,2020,12,2,SID_ODE_N1000,XX,XXX,1000,Artificialia,19,919,69,0,12
